station_id,stationname,date,daytype,rides
40350,UIC-Halsted,12/08/2017,W,7462
40350,UIC-Halsted,12/30/2017,A,837
40350,UIC-Halsted,12/13/2017,W,5828
40350,UIC-Halsted,12/11/2017,W,5614
40350,UIC-Halsted,12/20/2017,W,3072
40350,UIC-Halsted,12/01/2017,W,7718
40350,UIC-Halsted,12/28/2017,W,1575
40350,UIC-Halsted,12/04/2017,W,7800
40350,UIC-Halsted,12/19/2017,W,3306
40350,UIC-Halsted,12/06/2017,W,7813
40350,UIC-Halsted,12/29/2017,W,1472
40350,UIC-Halsted,12/17/2017,U,1321
40350,UIC-Halsted,12/25/2017,U,369
40350,UIC-Halsted,12/15/2017,W,5217
40350,UIC-Halsted,12/27/2017,W,1347
40350,UIC-Halsted,12/05/2017,W,7731
40350,UIC-Halsted,12/02/2017,A,2340
40350,UIC-Halsted,12/31/2017,U,800
40350,UIC-Halsted,12/14/2017,W,5493
40350,UIC-Halsted,12/09/2017,A,1947
40350,UIC-Halsted,12/22/2017,W,2334
40350,UIC-Halsted,12/24/2017,U,659
40350,UIC-Halsted,12/07/2017,W,7661
40350,UIC-Halsted,12/18/2017,W,3216
40350,UIC-Halsted,12/16/2017,A,1915
40350,UIC-Halsted,12/12/2017,W,5553
40350,UIC-Halsted,12/26/2017,W,1019
40350,UIC-Halsted,12/23/2017,A,997
40350,UIC-Halsted,12/10/2017,U,1285
40350,UIC-Halsted,12/21/2017,W,2718
40350,UIC-Halsted,12/03/2017,U,1645
40350,UIC-Halsted,03/07/2018,W,7467
40350,UIC-Halsted,02/04/2018,U,1085
40350,UIC-Halsted,02/13/2018,W,7493
40350,UIC-Halsted,03/04/2018,U,1397
40350,UIC-Halsted,03/08/2018,W,7258
40350,UIC-Halsted,02/02/2018,W,6829
40350,UIC-Halsted,01/20/2018,A,2216
40350,UIC-Halsted,01/08/2018,W,2800
40350,UIC-Halsted,03/23/2018,W,6685
40350,UIC-Halsted,02/28/2018,W,7501
40350,UIC-Halsted,03/01/2018,W,7118
40350,UIC-Halsted,03/11/2018,U,1376
40350,UIC-Halsted,01/18/2018,W,7420
40350,UIC-Halsted,02/24/2018,A,2185
40350,UIC-Halsted,03/20/2018,W,7017
