station_id,stationname,date,daytype,rides
41280,Jefferson Park,12/22/2017,W,6104
41280,Jefferson Park,12/15/2017,W,6678
41280,Jefferson Park,12/06/2017,W,7015
41280,Jefferson Park,12/28/2017,W,4997
41280,Jefferson Park,12/24/2017,U,2401
41280,Jefferson Park,12/27/2017,W,4732
41280,Jefferson Park,12/05/2017,W,6992
41280,Jefferson Park,12/03/2017,U,2979
41280,Jefferson Park,12/07/2017,W,7076
41280,Jefferson Park,12/21/2017,W,6631
41280,Jefferson Park,12/11/2017,W,6729
41280,Jefferson Park,12/13/2017,W,7043
41280,Jefferson Park,12/02/2017,A,3816
41280,Jefferson Park,12/08/2017,W,7079
41280,Jefferson Park,12/25/2017,U,1756
41280,Jefferson Park,12/17/2017,U,2745
41280,Jefferson Park,12/14/2017,W,6921
41280,Jefferson Park,12/16/2017,A,3649
41280,Jefferson Park,12/18/2017,W,6615
41280,Jefferson Park,12/23/2017,A,3361
41280,Jefferson Park,12/10/2017,U,2699
41280,Jefferson Park,12/29/2017,W,4758
41280,Jefferson Park,12/09/2017,A,3517
41280,Jefferson Park,12/30/2017,A,2563
41280,Jefferson Park,12/26/2017,W,3858
41280,Jefferson Park,12/12/2017,W,6822
41280,Jefferson Park,12/04/2017,W,6933
41280,Jefferson Park,12/01/2017,W,7316
41280,Jefferson Park,12/20/2017,W,6882
41280,Jefferson Park,12/31/2017,U,2360
41280,Jefferson Park,12/19/2017,W,6798
41280,Jefferson Park,02/04/2018,U,2232
41280,Jefferson Park,03/04/2018,U,2509
41280,Jefferson Park,01/15/2018,W,4270
41280,Jefferson Park,01/07/2018,U,2264
41280,Jefferson Park,03/10/2018,A,3276
41280,Jefferson Park,02/27/2018,W,6922
41280,Jefferson Park,01/23/2018,W,6790
41280,Jefferson Park,01/27/2018,A,3191
41280,Jefferson Park,03/09/2018,W,6631
41280,Jefferson Park,02/09/2018,W,4739
41280,Jefferson Park,03/23/2018,W,6684
41280,Jefferson Park,02/13/2018,W,6762
41280,Jefferson Park,03/07/2018,W,6844
41280,Jefferson Park,02/10/2018,A,2975
41280,Jefferson Park,03/18/2018,U,2604
41280,Jefferson Park,01/30/2018,W,6699
41280,Jefferson Park,02/17/2018,A,3214
41280,Jefferson Park,03/27/2018,W,6597
41280,Jefferson Park,03/14/2018,W,6851
41280,Jefferson Park,02/01/2018,W,6753
41280,Jefferson Park,01/12/2018,W,6173
41280,Jefferson Park,02/19/2018,W,5087
41280,Jefferson Park,01/10/2018,W,6514
41280,Jefferson Park,03/01/2018,W,6738
41280,Jefferson Park,02/06/2018,W,6629
41280,Jefferson Park,01/21/2018,U,2413
41280,Jefferson Park,03/05/2018,W,6306
41280,Jefferson Park,01/28/2018,U,2416
41280,Jefferson Park,02/14/2018,W,6877
41280,Jefferson Park,02/07/2018,W,6692
41280,Jefferson Park,01/29/2018,W,6500
41280,Jefferson Park,03/22/2018,W,6802
41280,Jefferson Park,02/18/2018,U,2571
41280,Jefferson Park,03/20/2018,W,6760
41280,Jefferson Park,03/16/2018,W,6587
41280,Jefferson Park,02/23/2018,W,6617
41280,Jefferson Park,01/04/2018,W,5702
41280,Jefferson Park,02/11/2018,U,2310
41280,Jefferson Park,03/31/2018,A,3012
41280,Jefferson Park,01/02/2018,W,4819
41280,Jefferson Park,03/29/2018,W,6386
41280,Jefferson Park,03/24/2018,A,3276
41280,Jefferson Park,01/01/2018,U,1749
41280,Jefferson Park,02/05/2018,W,6282
41280,Jefferson Park,02/16/2018,W,6614
41280,Jefferson Park,02/25/2018,U,2507
41280,Jefferson Park,01/06/2018,A,2676
41280,Jefferson Park,02/02/2018,W,6145
41280,Jefferson Park,03/17/2018,A,4700
41280,Jefferson Park,01/18/2018,W,6783
41280,Jefferson Park,02/21/2018,W,6816
41280,Jefferson Park,03/30/2018,W,5611
41280,Jefferson Park,01/16/2018,W,6575
41280,Jefferson Park,02/28/2018,W,7024
41280,Jefferson Park,03/13/2018,W,6671
41280,Jefferson Park,03/15/2018,W,6914
41280,Jefferson Park,03/03/2018,A,3292
41280,Jefferson Park,03/21/2018,W,6915
41280,Jefferson Park,02/24/2018,A,3314
41280,Jefferson Park,03/06/2018,W,6807
41280,Jefferson Park,01/25/2018,W,6894
41280,Jefferson Park,01/31/2018,W,6837
41280,Jefferson Park,03/11/2018,U,2550
41280,Jefferson Park,03/02/2018,W,6680
41280,Jefferson Park,01/03/2018,W,5520
41280,Jefferson Park,01/14/2018,U,2291
41280,Jefferson Park,03/28/2018,W,6689
41280,Jefferson Park,03/19/2018,W,6591
41280,Jefferson Park,02/03/2018,A,2923
41280,Jefferson Park,01/20/2018,A,3564
41280,Jefferson Park,01/26/2018,W,6808
41280,Jefferson Park,01/17/2018,W,6702
41280,Jefferson Park,03/26/2018,W,6158
41280,Jefferson Park,02/12/2018,W,6426
41280,Jefferson Park,01/19/2018,W,6592
41280,Jefferson Park,01/08/2018,W,6209
41280,Jefferson Park,01/22/2018,W,6568
41280,Jefferson Park,03/25/2018,U,2743
41280,Jefferson Park,02/08/2018,W,6741
41280,Jefferson Park,01/09/2018,W,6482
41280,Jefferson Park,02/26/2018,W,6715
41280,Jefferson Park,01/05/2018,W,5423
41280,Jefferson Park,03/12/2018,W,6684
41280,Jefferson Park,02/15/2018,W,6818
41280,Jefferson Park,02/22/2018,W,6906
41280,Jefferson Park,02/20/2018,W,6628
41280,Jefferson Park,01/11/2018,W,6563
41280,Jefferson Park,01/24/2018,W,6856
41280,Jefferson Park,03/08/2018,W,6735
41280,Jefferson Park,01/13/2018,A,2868
41280,Jefferson Park,04/16/2018,W,6518
41280,Jefferson Park,05/24/2018,W,6921
41280,Jefferson Park,04/08/2018,U,2565
41280,Jefferson Park,04/04/2018,W,6690
41280,Jefferson Park,06/20/2018,W,6954
