station_id,stationname,date,daytype,rides
40890,O'Hare Airport,12/26/2017,W,11094
40890,O'Hare Airport,12/01/2017,W,12447
40890,O'Hare Airport,12/11/2017,W,10136
40890,O'Hare Airport,12/12/2017,W,9406
40890,O'Hare Airport,12/25/2017,U,7244
40890,O'Hare Airport,12/18/2017,W,10813
40890,O'Hare Airport,12/29/2017,W,10562
40890,O'Hare Airport,12/22/2017,W,9493
40890,O'Hare Airport,12/31/2017,U,7361
40890,O'Hare Airport,12/16/2017,A,8450
40890,O'Hare Airport,12/10/2017,U,8994
40890,O'Hare Airport,12/07/2017,W,10554
40890,O'Hare Airport,12/24/2017,U,6777
40890,O'Hare Airport,12/15/2017,W,11057
40890,O'Hare Airport,12/03/2017,U,9308
40890,O'Hare Airport,12/19/2017,W,10193
40890,O'Hare Airport,12/27/2017,W,11154
40890,O'Hare Airport,12/02/2017,A,8542
40890,O'Hare Airport,12/06/2017,W,9540
40890,O'Hare Airport,12/28/2017,W,11141
40890,O'Hare Airport,12/17/2017,U,9018
40890,O'Hare Airport,12/14/2017,W,10629
40890,O'Hare Airport,12/30/2017,A,8847
40890,O'Hare Airport,12/21/2017,W,9558
40890,O'Hare Airport,12/13/2017,W,9306
40890,O'Hare Airport,12/04/2017,W,9785
40890,O'Hare Airport,12/20/2017,W,9799
40890,O'Hare Airport,12/09/2017,A,8033
40890,O'Hare Airport,12/08/2017,W,11875
40890,O'Hare Airport,12/23/2017,A,7578
40890,O'Hare Airport,12/05/2017,W,9669
40890,O'Hare Airport,02/20/2018,W,10017
40890,O'Hare Airport,03/22/2018,W,10836
40890,O'Hare Airport,03/28/2018,W,10298
40890,O'Hare Airport,01/12/2018,W,8264
40890,O'Hare Airport,02/04/2018,U,7315
40890,O'Hare Airport,01/07/2018,U,7228
40890,O'Hare Airport,01/25/2018,W,9090
40890,O'Hare Airport,01/16/2018,W,7774
40890,O'Hare Airport,03/21/2018,W,9427
40890,O'Hare Airport,01/14/2018,U,6114
40890,O'Hare Airport,01/04/2018,W,8278
40890,O'Hare Airport,02/12/2018,W,10257
40890,O'Hare Airport,03/01/2018,W,9506
40890,O'Hare Airport,02/26/2018,W,10061
40890,O'Hare Airport,03/16/2018,W,13995
40890,O'Hare Airport,01/08/2018,W,9362
40890,O'Hare Airport,02/16/2018,W,11521
40890,O'Hare Airport,03/07/2018,W,9193
40890,O'Hare Airport,02/17/2018,A,7786
40890,O'Hare Airport,03/11/2018,U,9449
40890,O'Hare Airport,01/01/2018,U,8226
40890,O'Hare Airport,02/14/2018,W,8724
40890,O'Hare Airport,01/11/2018,W,7996
40890,O'Hare Airport,03/15/2018,W,12314
40890,O'Hare Airport,02/22/2018,W,9912
40890,O'Hare Airport,01/18/2018,W,7490
40890,O'Hare Airport,03/09/2018,W,10942
40890,O'Hare Airport,03/05/2018,W,9879
40890,O'Hare Airport,02/09/2018,W,9127
40890,O'Hare Airport,03/24/2018,A,8995
40890,O'Hare Airport,02/10/2018,A,7658
40890,O'Hare Airport,03/04/2018,U,8795
40890,O'Hare Airport,01/22/2018,W,9193
40890,O'Hare Airport,02/23/2018,W,10450
40890,O'Hare Airport,03/03/2018,A,8166
40890,O'Hare Airport,02/25/2018,U,8639
40890,O'Hare Airport,02/07/2018,W,8148
40890,O'Hare Airport,03/23/2018,W,11488
40890,O'Hare Airport,01/05/2018,W,8561
